회사명,공고명,"채용 형태(경력, 신입)",학력,직장 위치,키워드,마감 기한,공고 링크
드림씨아이에스,통계(STAT)팀 DS(Data Scientist) 신입/경력 모집,신입·경력,석사↑,서울 종로구,"자동차정비, A·S센터, 중정비, 경정비, 자동차정비",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43498213?Oem_Code=C1&logpath=1&stext=&listno=852
스투트가르트스포츠카㈜,포르쉐 자동차 사고수리,경력1년↑,고졸↑,경기 성남시,"한식당, 뷔페, 양식, 양식, 호텔",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43497668?Oem_Code=C1&logpath=1&stext=&listno=853
엠즈씨드㈜,[전북 고창] 상하농원 F&B 신입/경력 인재 모집,신입·경력,학력무관,전북 고창군 외,"예약·발권, 여행사무",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43497970?Oem_Code=C1&logpath=1&stext=&listno=854
㈜내일투어,항공사업부 신입/경력 공개채용,경력무관,초대졸↑,서울 중구,"고객관리, 거래처관리, 고객응대, 여행사무, 여행상품기획",~02/04(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43498050?Oem_Code=C1&logpath=1&stext=&listno=855
㈜내일투어,(주)내일투어 신입 및 경력 채용,경력무관,초대졸↑,서울 중구,"연구·실험·기술, 화학·섬유",~02/04(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43498036?Oem_Code=C1&logpath=1&stext=&listno=856
㈜케이씨씨,KCC 중앙연구소 기술지원 테크니션 계약직 채용,신입,고졸↑,경기 용인시,"기계, SI개발, 기계설계, 자동화설비",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43498005?Oem_Code=C1&logpath=1&stext=&listno=857
㈜에스엠코어,"(주)에스엠코어 SI 전산 개발자(Unreal 3D, C#, C++, JAVA) 모집합니다.",신입·경력,대졸↑,서울 마포구,"프랜차이즈, 카페, 커피숍",~02/04(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43498001?Oem_Code=C1&logpath=1&stext=&listno=858
㈜커피빈코리아 / 도곡동 지오빌딩점,커피빈코리아 도곡동지오빌딩점 8H 슈퍼바이저 채용,경력무관,학력무관,서울 강남구,"석유화학, 딥러닝, 인공지능, 데이터분석, 서버관리",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43497994?Oem_Code=C1&logpath=1&stext=&listno=859
다바걸,[다바걸] 여성의류 쇼핑몰 물류배송팀 신입 및 경력 정규직 채용,신입·경력1년↑,고졸↑,서울 성동구,"물류, 배송, 인터넷쇼핑몰, 포장, 반품",~12/21(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43493263?Oem_Code=C1&logpath=1&stext=&listno=1241
태원통상,산업용 기계장비 기술영업 및 관련 업무 (신입가능),신입·경력,대졸↑,서울 서초구,"기술영업, 무역업",~02/05(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43493253?Oem_Code=C1&logpath=1&stext=&listno=1242
