기업명,평균 학점,평균 토익점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수
웅진씽크빅,3.65,781.0,1.2,2.2,1.2,1.3,2.0,2.0
삼탄,3.48,797.0,1.0,2.0,1.3,1.0,1.0,1.0
한세실업,3.69,857.0,1.3,1.9,1.5,1.9,1.4,2.8
오비맥주,3.61,836.0,1.0,2.3,1.1,1.6,1.6,2.5
삼부토건,3.58,810.0,1.0,2.1,1.4,2.0,1.0,1.8
한전KPS,3.57,805.0,1.3,2.6,1.1,1.3,1.6,1.4
도레이케미칼,3.64,810.0,2.0,2.3,1.3,1.5,2.5,1.7
동아쏘시오홀딩스,3.57,806.0,1.0,2.3,1.1,1.1,1.8,1.7
현대엘리베이터,3.62,806.0,1.0,2.3,1.5,1.5,1.7,2.0
코오롱아이넷,3.51,762.0,1.0,1.6,1.5,1.0,2.5,1.0
동원F&B,3.6,804.0,1.2,2.3,1.1,1.2,1.4,2.0
서원홀딩스,3.51,670.0,1.0,2.2,1.0,1.2,2.5,2.5
금호피앤비화학,4.04,813.0,1.2394372486296872,2.6,1.0,1.2876770575784953,3.0,1.3
롯데알미늄,3.54,787.0,1.5,2.3,1.8,1.7,2.1,1.5
남광토건,3.63,765.0,1.169138297671973,1.7,1.2,1.4638320773081666,1.0,1.0
태산LCD,3.49,649.0,1.3,2.1,1.4,2.0,1.0,1.0
맥쿼리증권,3.61,927.0,1.0,2.1,1.2,1.4724250050998577,1.785891265450036,1.7885650807038367
SAMT,3.37,893.0,1.1245584751134228,2.5,1.0,1.575540138600153,1.6935100434562032,1.7123753405653714
SK C&C,3.71,845.0,1.0,2.3,1.2,1.0,1.5,1.2
CJ GLS,3.64,802.0,1.0,2.0,1.2,1.0,1.0,1.3
KB생명보험,3.57,833.0,1.1588506463123078,5.4,1.0,1.4896108606832403,7.7,6.0
한국니토옵티칼,3.74,807.0,1.2,2.3,1.2,2.5,2.0,1.2
라이나생명보험,3.75,847.0,1.2,2.4,1.1,1.3,1.0,1.7
한국인삼공사,3.68,812.0,1.5,1.9,1.6,2.3,2.5,2.1
롯데상사,3.68,906.0,2.0,1.7,1.8,1.0,1.0,1.5
대한제강,3.62,843.0,1.0,2.8,1.4,1.1,1.3,1.1
CJ 프레시웨이,3.64,834.0,1.0,2.2,1.2,1.2,1.5,1.7
푸본현대생명보험,3.58,766.0,1.0,1.9,1.3,1.2,2.3,2.6
에스원,3.67,740.0,1.0,2.4,1.1,1.8,2.4,1.4
유니드글로벌상사,3.63,856.0,1.8,2.7,2.2,1.4638320773081666,1.5,1.0
에스트라오토모티브시스템,3.5,825.0,1.2,1.8,1.6,1.5,1.3,2.2
롯데로지스틱스투자,3.64,871.0,1.0,2.1,1.3,1.4,1.7,1.9
화성산업,3.56,915.0,1.1571360377523634,2.3,1.0,1.0,1.7666451775346543,1.0
유진기업,3.51,830.0,1.0,2.5,1.3,1.0,2.0,1.0
현대케피코,3.68,848.0,1.0,2.3,1.3,1.1,1.6,2.0
한화디펜스,3.79,840.0,1.1965720346310813,1.5,1.0,1.1,1.0,1.3
포스코스틸리온,3.83,864.0,1.0,2.0,1.2,1.5,2.0,2.8
신아에스비,3.63,713.0,1.0,2.2,1.4,1.4638320773081666,1.0,1.0
KB금융지주,3.8,857.0,1.1982866431910253,2.3,1.0,1.0,1.0,1.0
GS홈쇼핑,3.61,888.0,1.0,1.7,1.1,1.5,1.4,1.6
비엠더블유코리아,3.79,881.0,1.1965720346310813,2.0,1.2,2.0,3.0,2.0
엘에스엠트론,3.61,800.0,1.0,1.9,1.3,1.5,1.5,1.5
앰코테크놀로지코리아,3.71,818.0,1.1,2.1,1.4,1.6,1.5,1.7
동양,3.49,673.0,1.1451337778327537,1.9,2.0,1.0,1.0,1.5
하이트진로,3.64,822.0,1.3,2.0,1.1,1.5,1.3,1.5
교원,3.64,712.0,1.2,2.3,1.3,1.8,2.1,2.0
메르세데스벤츠코리아,3.56,834.0,1.0,2.2,1.4,2.0,1.0,1.0
타타대우상용차,3.74,806.0,1.18799899183136,2.5,1.2,3.0,2.0,1.8298345232788389
영풍,3.43,765.0,1.1348461264730885,2.3,1.2,1.0,2.0,1.5
KH에너지,3.48,783.0,1.0,2.9,1.5,1.5,1.8,4.7
삼성전자서비스,3.56,680.0,1.3,2.1,1.2,1.5,1.5,1.6
