회사명,키워드
글로벌리서치,"시장조사, 설문조사, 통계·분석, 시장분석, 조사분석, 부가세신고, 재무회계, 더존, 계산서발행, 자금관리"
글로벌모터서비스,"행정, 문서관리, 자동차, 화장품, 고객안내, 고객응대, 자동차"
글로벌솔루션,"콜센터, 접수·예약, 전화상담, 해피콜, 사이트관리"
글로벌에이치엠,무역업
글로벌제이에이치홀딩스,"접수·예약, 전화상담, 고객지원, 단순안내, 부동산컨설팅"
글로벌호텔,"호텔사무, 호텔, 호텔, 프런트"
글로비스얼라이언스,"유통, AMD"
글로비지테라안티에이징의원,피부과
글로비텍,전자
글로우서울,"기업홍보, 시공관리, 가설설계, 키워드광고, 브랜딩"
글로텍엔지니어링,"건축설계, 토목, 반도체생산"
글룩,디자인
금강웰텍,"시공관리, 건설, 건축설계, 공무"
금강테크엘리베이터,"A·S수리, 설치, 유지보수"
금강티디씨,"시공관리, 실내건축, 인테리어, 리모델링, 리모델링"
금강피엠씨,"공조냉동, 시설점검, 부동산관리, 전기점검"
금강화학,"품질보증, 자동차부품"
금륜ENG,MCT
금보개발오라카이 청계산 호텔,"거래처관리, 공인중개사, 임대컨설팅, 부동산컨설팅, 부동산관리"
금복,"전기, 시설관리"
금비,"식품영업, 요업, 주류영업, 국내영업"
금성건설,"건설, 건축시공"
금성엘리베이터,"승강기기사, 기술지원, A·S수리, 기계설비, 유지보수"
금성전력기술,"시설점검, 시설, CCTV, 네트워크관리"
금솔커뮤니케이션,"광고기획, 온라인광고, 광고디자인, 광고기획, 광고제작"
금수강산,"한식당, 한식"
금양인터내셔날,"마트, 판매, 판매영업, 할인점, 판매관리"
금오유통,"납품, 유통, 납품기사"
금정,화학
금천테크,"택배, 중장비운전, 육상운송, 물류센터, 1톤"
금호엘리베이터,기계
금호이앤지,"데이터관리, 펌웨어, 시스템분석, 시스템운영, 정보보안"
기버,"창고관리, 생산관리, 납품, 재고관리, 가구"
기아늘푸른대리점,"중고차딜러, 판매관리, 자동차, 방문판매, 자동차영업"
기어즈소프트,"2D온라인게임, 3D온라인게임, 게임개발, 게임소프트웨어, 무선게임"
기업금융센타,"협회, 교육진행"
기주산업,"거래처관리, PCB, 고객관리, 국내영업, 생산관리, 검증, PCB"
기흥서일주유소,"피부관리, 마사지, 스킨, 에스테틱, 체형관리"
김가네,"프랜차이즈, 식품, 음식료, 메뉴기획"
김수장한의원,"간호, 간호조무"
김앤리컴퍼니 주식회사,"키워드광고, 인터넷교육, 제휴마케팅, 바이럴마케팅, 커뮤니티"
김영모과자점,"프랜차이즈, 식품, 면접·채용, 교육기획, 급여관리"
김장하는 고깃집 향산리,"한식당, 주방직원, 한식, 고깃집"
까사드발리,"관광, 펜션, 프론트, 컨시어지, 리조트"
까사플레이트(CASAPLATE),"양식, 패밀리레스토랑, 양식당"
까스텔바작,"생산관리, 시스템운영, 시스템분석, 시스템설계"
깐깐한 여니씨,"건강식품, 식품가공, 카운터, 서빙"
깡우동,"영업기획, 영업전략, 가맹점관리, 대리점관리, 프랜차이즈"
깨끗한나라,제지
꽃빛한방병원,진료보조
꾸드뱅,"제과제빵사, 베이커리, 베이커리, 파티쉐, 제과제빵점"
꾸러기,"상품기획, 재고관리, 상품입출고, 매출관리"
꿈꾸는파스텔미술학원,"예체능학원, 교사, 학원강사, 미술, 예체능"
꿈에그린정육식당,"한식당, 한식"
꿈을실현하는사람들,"물류, 프랜차이즈, 생산, 프랜차이즈, 국내영업, 가맹점관리, 거래처관리, 대리점관리"
꿈의숲 라포레스타,"양식, 일식, 양식당"
끌리메,"피부관리, 마사지, 마사지"
나나성형외과의원,"접수·예약, 성형외과, 피부과, 프런트, 고객응대"
나노마이크로텍,"A·S수리, 전자, 렌탈영업, 정수기관리, 설치"
나눔정밀,"생산관리, 품질보증, 설비, 자동차부품, 금속"
나디아잉글리쉬어학원,"학원운영, 고객안내, 일반학원, 학원강사, 교육상담"
나라대부금융,"대출심사, 여신"
