회사명,공고명,"채용 형태(경력, 신입)",학력,직장 위치,키워드,마감 기한,공고 링크
㈜오스템,(주)오스템 2023년 안전보건관리자 채용,경력무관,대졸↑,충남 천안시,"산업안전, 자동차부품, 안전보건관리자",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351443?Oem_Code=C1&logpath=1&stext=&listno=58368
㈜브랜뉴인터내셔널,쇼핑몰 MD / 온라인기획 MD / 상품등록,경력2년↑,학력무관,서울 금천구,"쇼핑몰, 오픈마켓",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351441?Oem_Code=C1&logpath=1&stext=&listno=58369
㈜시스메이트,사이니지/DID 및 멀티비전 유지보수 관리 및 설치,경력1년↑,학력무관,서울 금천구,"A·S수리, 기술지원, SM, 설치, 소프트웨어개발",~12/23(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43159243?Oem_Code=C1&logpath=1&stext=&listno=58370
청라에스엘피(SLP)어학원,서강SLP 청라어학당  학원 행정직원 모집,경력무관,학력무관,인천 서구,"행정, 어학원",~01/16(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43349877?Oem_Code=C1&logpath=1&stext=&listno=58371
해성P&L,"슬레이트, 포장, 인쇄 생산부 인원 모집",경력무관,학력무관,서울 성동구,"검증, 인쇄·출력, 인쇄기계",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351436?Oem_Code=C1&logpath=1&stext=&listno=58372
㈜에스씨에이게임대구,[SBS게임아카데미] 대구지점 교육상담직 신입사원 채용,경력무관,학력무관,대구 중구 외,고객관리,~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351433?Oem_Code=C1&logpath=1&stext=&listno=58373
스코트라㈜,[정규직] 수상태양광 시공 현장관리직 모집 (경력/PM),경력3년↑,초대졸↑,경기,"프라스틱제조, 에너지, 전기설비, 건축시공",~12/20(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43351432?Oem_Code=C1&logpath=1&stext=&listno=58374
씨너지큐브㈜,대기업 SW QA/테스터 정규직 채용,신입·경력1년↑,초대졸↑,경기 과천시,"테스터, 검증",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43351430?Oem_Code=C1&logpath=1&stext=&listno=58375
㈜지엘커뮤니케이션즈,수입 화장품 브랜드매니저(BM) 채용: 카밀 탱글티저 공식 수입사,경력3년↑,초대졸↑,서울 강남구,"유통, 백화점, 유통관리, SCM, 면세점",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351423?Oem_Code=C1&logpath=1&stext=&listno=58376
엠케이유니버셜,콘텐츠마케터 경력직 채용,경력1년↑,학력무관,서울 강서구,"SNS마케팅, 디지털디자인, 브랜드디자인, 콘텐츠기획",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351422?Oem_Code=C1&logpath=1&stext=&listno=58377
㈜오성주방설비,NCT 오퍼레이터(NC가공) 및 공장보조 신입/경력 사원 채용(초보자가능),경력무관,학력무관,경기 남양주시,"NCT, 금속, 용접기, 기계조작, 절삭공구",~01/16(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43351419?Oem_Code=C1&logpath=1&stext=&listno=58378
㈜조은바람기술연구소,기계설비 전기공사 신입 및 경력직 채용,경력무관,초대졸↑,충남 홍성군,"기계, 기계조립, 건설기계, 전기설비, 기계설비",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351418?Oem_Code=C1&logpath=1&stext=&listno=58379
㈜태영한우,[월250이상 주5일 근무] 한우 온라인 제품 생산(세절) 및 포장업무,경력무관,학력무관,서울 성동구,쇼핑몰,상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43351417?Oem_Code=C1&logpath=1&stext=&listno=58380
㈜일리안,온라인 쇼핑몰 MD 채용,경력무관,학력무관,서울 마포구,생활용품,~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43301463?Oem_Code=C1&logpath=1&stext=&listno=58781
㈜금솔커뮤니케이션,디지털마케팅 AE 경력 채용,경력3년↑,초대졸↑,서울 금천구,"광고기획, 온라인광고, 광고디자인, 광고기획, 광고제작",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43220959?Oem_Code=C1&logpath=1&stext=&listno=58782
팀메타,팀메타와 함께할 인재를 찾습니다 ㅣ 백엔드 개발자,경력무관,학력무관,서울 금천구 외,"SI개발, 서버관리, 소프트웨어개발",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43346355?Oem_Code=C1&logpath=1&stext=&listno=58783
서울정보처리학원,산본컴퓨터학원[서울정보처리학원] 보조 강사 모집,경력무관,고졸↑,경기 군포시,"교사, 학원강사, 디자인학원, 파트강사, 자격증·기술",~12/13(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43319564?Oem_Code=C1&logpath=1&stext=&listno=58784
잡코리아(유),원할한 서비스를 위한 테스트 공고,신입,학력무관,경기 용인시,"바이오, 보건",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43264705?Oem_Code=C1&logpath=1&stext=&listno=58785
보험프라자재무컨설팅㈜,"손해보험 총무 경력자 채용 - 보험사, 보험대리점, 손보",경력3년↑,학력무관,경기 부천시 외,"전산입력, 사이트관리, 보험사고, 행정, 자동차보험",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43332793?Oem_Code=C1&logpath=1&stext=&listno=58786
㈜웨인힐스브라이언트에이아이,AI) Computer Vision 시니어 개발자 채용,경력무관,대졸↑,서울 강서구,"딥러닝, 인공지능, 소프트웨어개발",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43256161?Oem_Code=C1&logpath=1&stext=&listno=58787
㈜티피씨인터넷,국내 1위 커뮤니케이션 플랫폼 `LIKEY` 사업개발 담당자 / Business development Manager 채용,경력1년↑,고졸↑,서울 강남구 외,"웹툰, 크리에이터, 아이폰, 안드로이드, 바이럴마케팅",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43245165?Oem_Code=C1&logpath=1&stext=&listno=58788
㈜중앙플라텍,(주)중앙플라텍 해외영업 경력자 채용[연봉4천이상/정규직],경력5년↑,초대졸↑,경기 평택시,"거래처관리, 영업기획, 해외마케팅, 수출입계약, 중국어",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43333985?Oem_Code=C1&logpath=1&stext=&listno=58789
㈜케이원,하드웨어(Hardware/Embedded) 엔지니어 채용,신입·경력4년↑,대졸↑,서울 금천구,"전자회로, 전장, 회로설계, 임베디드, 회로설계",~01/13(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43320270?Oem_Code=C1&logpath=1&stext=&listno=58790
마케팅피플,감각있는 그래픽 디자이너를 찾습니다.,경력3년↑,대졸↑,서울 강남구,"프로모션대행, 국제회의, 컨벤션, 광고기획, 광고대행",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43345727?Oem_Code=C1&logpath=1&stext=&listno=58791
㈜엘피에듀테인먼트,[LP댄스학원 강남점] 취미반개인소수레슨 실력있는 댄스강사님 모집합니다,경력무관,초대졸↑,서울 강남구,"예체능학원, 학원강사, 예체능",~01/15(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43344242?Oem_Code=C1&logpath=1&stext=&listno=58792
주식회사 백영,시설관리 소장(팀장) 모집,경력5년↑,학력무관,서울 성동구,"전기, 시설점검, 부동산관리, 소방, 기계설비",~12/16(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43346291?Oem_Code=C1&logpath=1&stext=&listno=58793
㈜온택트헬스,서비스기획자 채용,경력무관,초대졸↑,서울 서대문구 외,"기획, 전략, IT개발, 데이터, UX",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43297232?Oem_Code=C1&logpath=1&stext=&listno=58794
㈜시스원,공공SI 영업 대표 채용,경력5년↑,학력무관,서울 강서구,"SM, 기술영업",~12/06(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43261037?Oem_Code=C1&logpath=1&stext=&listno=58795
㈜동보 아산공장,"보전 신입, 경력 기능직 사원 모집",신입·경력,고졸↑,충남 아산시 외,"유지보수, 설비, 자동차부품",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43300145?Oem_Code=C1&logpath=1&stext=&listno=58796
위시컴퍼니㈜,[위시컴퍼니] 브랜드AMD 인턴,신입,초대졸↑,서울 강남구,"화장품, AMD, 바이럴마케팅, SNS마케팅, 디지털마케팅",~12/15(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43335090?Oem_Code=C1&logpath=1&stext=&listno=58797
