,회사명,총점,"직무, 지역"
3047,유남전기,80.0,"생산/제조, 경기"
3048,유남전기,20.0,"생산/제조, 광주"
3049,유남전기,20.0,"생산관리/품질관리, 광주"
3050,유남전기,100.0,"엔지니어링, 경기"
3051,유넷시스템,44.0,"개발, 서울"
3052,유니닥스,80.0,"개발, 서울"
3053,유니닥스,80.0,"엔지니어링, 서울"
3054,유니닥스,80.0,"영업/제휴, 서울"
3055,유니램,40.0,"데이터, 울산"
3056,유니램,20.0,"생산/제조, 울산"
3057,유니램,40.0,"유통/무역, 울산"
3058,유니레버코리아,80.0,"금융/재무, 서울"
3059,유니레버코리아,46.667,"마케팅/시장조사, 서울"
3060,유니레버코리아,40.0,"유통/무역, 서울"
3061,유니셈,40.0,"기획/경영, 경기"
3062,유니셈,20.0,"서비스/고객지원, 충남"
3063,유니셈,46.667,"엔지니어링, 경기"
3064,유니슨,60.0,"데이터, 부산"
3065,유니슨,60.0,"생산/제조, 기타"
3066,유니슨,80.0,"생산/제조, 대전"
3067,유니슨,50.0,"연구개발, 대전"
3068,유니시티코리아,60.0,"개발, 서울"
3069,유니시티코리아,80.0,"마케팅/시장조사, 서울"
3070,유니시티코리아,60.0,"서비스/고객지원, 서울"
3071,유니시티코리아,60.0,"유통/무역, 서울"
3072,유니웹스,30.0,"개발, 서울"
3073,유니웹스,20.0,"마케팅/시장조사, 서울"
3074,유니위스,70.0,"개발, 경기"
3075,유니위스,80.0,"개발, 서울"
3076,유니위스,40.0,"디자인, 경기"
3077,유니챌,44.0,"개발, 서울"
3078,유니퀘스트,80.0,"영업/제휴, 경기"
3079,유닉스전자,20.0,"개발, 서울"
3080,유닉스전자,66.667,"마케팅/시장조사, 서울"
3081,유닉스전자,40.0,"영업/제휴, 서울"
3082,유도스타자동화,40.0,"생산/제조, 인천"
3083,유도스타자동화,20.0,"엔지니어링, 인천"
3084,유도스타자동화,40.0,"연구개발, 경기"
3085,유도스타자동화,60.0,"유통/무역, 경기"
3086,유도스타자동화,60.0,"인사/총무, 인천"
3087,유로물산,24.0,"디자인, 서울"
3088,유림공업,73.333,"생산/제조, 대구"
3089,유림공업,60.0,"생산관리/품질관리, 대구"
3090,유림공업,20.0,"유통/무역, 대구"
3091,유명,50.0,"생산/제조, 울산"
3092,유명,60.0,"생산관리/품질관리, 울산"
3093,유명,20.0,"유통/무역, 울산"
3094,유비벨록스,53.333,"개발, 서울"
3095,유비벨록스,100.0,"금융/재무, 서울"
3096,유비벨록스,40.0,"생산/제조, 충북"
3097,유비에스은행서울지점,50.0,"금융/재무, 서울"
3098,유비에스은행서울지점,20.0,"인사/총무, 서울"
3099,유비텍,20.0,"생산/제조, 경기"
3100,유비텍,100.0,"생산/제조, 인천"
3101,유비텍,40.0,"생산관리/품질관리, 인천"
3102,유비텍,20.0,"영업/제휴, 인천"
3103,유사나헬스사이언스코리아,20.0,"마케팅/시장조사, 서울"
3104,유사나헬스사이언스코리아,60.0,"생산/제조, 서울"
3105,유사나헬스사이언스코리아,73.333,"서비스/고객지원, 서울"
3106,유성기업,50.0,"생산/제조, 충남"
3107,유성기업,60.0,"엔지니어링, 충남"
3108,유성기업,20.0,"연구개발, 충남"
3109,유성기업,60.0,"인사/총무, 충남"
3110,유센로지스틱스코리아,60.0,"금융/재무, 서울"
3111,유센로지스틱스코리아,60.0,"유통/무역, 서울"
3112,유스테크코리아,40.0,"교육, 서울"
3113,유스테크코리아,60.0,"생산/제조, 서울"
3114,유양산전,50.0,"개발, 경기"
3115,유양산전,60.0,"생산관리/품질관리, 경기"
3116,유양산전,20.0,"연구개발, 경기"
3117,유양산전,20.0,"영업/제휴, 경기"
3118,유엔젤,73.333,"개발, 경기"
3119,유엔젤,60.0,"교육, 경기"
3120,유엔젤,80.0,"미디어/홍보, 경기"
3121,유엘코리아,80.0,"생산관리/품질관리, 서울"
3122,유엘코리아,80.0,"엔지니어링, 서울"
3123,유엘코리아,60.0,"연구개발, 경기"
3124,유정시스템,60.0,"개발, 경기"
3125,유정시스템,60.0,"생산관리/품질관리, 서울"
3126,유정시스템,60.0,"연구개발, 경기"
3127,유진기업,60.0,"금융/재무, 서울"
3128,유진기업,53.333,"기획/경영, 서울"
3129,유진기업,80.0,"디자인, 서울"
3130,유진투자선물,40.0,"금융/재무, 서울"
3131,유진투자선물,20.0,"서비스/고객지원, 서울"
3132,유진투자선물,70.0,"영업/제휴, 서울"
3133,유진투자증권,60.0,"금융/재무, 기타"
3134,유진투자증권,73.333,"금융/재무, 서울"
3135,유진투자증권,80.0,"법률/법무, 서울"
3136,유징테크,40.0,"개발, 경북"
3137,유징테크,40.0,"데이터, 경북"
3138,유징테크,30.0,"엔지니어링, 경북"
3139,유캔비성형외과,40.0,"디자인, 기타"
3140,유캔비성형외과,40.0,"마케팅/시장조사, 서울"
3141,유캔비성형외과,80.0,"서비스/고객지원, 서울"
3142,유캔비성형외과,60.0,"인사/총무, 서울"
3143,유코카캐리어스,80.0,"서비스/고객지원, 서울"
3144,유코카캐리어스,20.0,"영업/제휴, 서울"
3145,유코카캐리어스,46.667,"유통/무역, 서울"
3146,유티모스트아이엔에스,40.0,"개발, 경기"
3147,유티모스트아이엔에스,40.0,"개발, 인천"
3148,유플리트,40.0,"기획/경영, 서울"
3149,유플리트,33.333,"디자인, 서울"
3150,유피에스에스씨에스코리아,25.0,"유통/무역, 서울"
3151,유피에스에스씨에스코리아,40.0,"유통/무역, 인천"
3152,유한킴벌리,80.0,"마케팅/시장조사, 서울"
3153,유한킴벌리,60.0,"영업/제휴, 서울"
3154,유한킴벌리,60.0,"유통/무역, 서울"
3155,유한테크노스,68.0,"개발, 서울"
3156,유호전기공업,80.0,"교육, 경기"
3157,유호전기공업,26.667,"생산관리/품질관리, 경기"
3158,유호전기공업,40.0,"서비스/고객지원, 경기"
3159,유화증권,70.0,"금융/재무, 서울"
3160,유화증권,20.0,"기획/경영, 서울"
3161,유화증권,40.0,"법률/법무, 서울"
3162,유화증권,100.0,"영업/제휴, 서울"
3163,육공일비상,55.0,"디자인, 서울"
3164,육공일비상,80.0,"미디어/홍보, 서울"
3165,윤남텍,70.0,"생산/제조, 대구"
3166,윤남텍,80.0,"생산관리/품질관리, 대구"
3167,율시스템,50.0,"개발, 경기"
3168,율시스템,60.0,"엔지니어링, 경기"
3169,율촌화학,40.0,"생산/제조, 경기"
3170,율촌화학,80.0,"영업/제휴, 경기"
3171,율촌화학,80.0,"영업/제휴, 서울"
3172,율촌화학,80.0,"인사/총무, 서울"
3173,은광산업,60.0,"생산/제조, 부산"
3174,은광산업,60.0,"생산관리/품질관리, 부산"
3175,은광산업,40.0,"영업/제휴, 부산"
3176,은성물산,20.0,"기획/경영, 서울"
3177,은성물산,20.0,"생산관리/품질관리, 서울"
3178,은성물산,60.0,"영업/제휴, 서울"
3179,은성물산,20.0,"유통/무역, 서울"
3180,은성산업,20.0,"개발, 경기"
3181,은성산업,33.333,"생산/제조, 경기"
3182,은성산업,20.0,"생산관리/품질관리, 경기"
3183,의료법인명지의료재단,60.0,"서비스/고객지원, 경기"
3184,의료법인명지의료재단,60.0,"연구개발, 경기"
3185,의료법인명지의료재단,66.667,"의약, 경기"
3186,의료법인서봉의료재단보강병원,60.0,"기획/경영, 대구"
3187,의료법인서봉의료재단보강병원,33.333,"의약, 대구"
3188,의료법인서봉의료재단보강병원,60.0,"인사/총무, 대구"
3189,의료법인안은의료재단부평세림병원,40.0,"생산/제조, 인천"
3190,의료법인안은의료재단부평세림병원,60.0,"서비스/고객지원, 인천"
3191,의료법인안은의료재단부평세림병원,80.0,"엔지니어링, 인천"
3192,의료법인안은의료재단부평세림병원,50.0,"의약, 인천"
3193,의료법인청구성심병원,80.0,"기획/경영, 서울"
3194,의료법인청구성심병원,33.333,"의약, 서울"
3195,의료법인청구성심병원,60.0,"전문직, 서울"
3196,의연의료재단,20.0,"데이터, 서울"
3197,의연의료재단,60.0,"서비스/고객지원, 경기"
3198,의연의료재단,20.0,"영업/제휴, 서울"
3199,의연의료재단,20.0,"의약, 서울"
3200,이구산업,33.333,"생산/제조, 경기"
3201,이구산업,40.0,"생산관리/품질관리, 경기"
3202,이구산업,40.0,"영업/제휴, 경기"
3203,이글버그만코리아,60.0,"생산/제조, 경기"
3204,이글버그만코리아,80.0,"영업/제휴, 경기"
3205,이노베이션인포테크널로지,55.0,"개발, 서울"
3206,이노베이션인포테크널로지,60.0,"기획/경영, 서울"
3207,이노테크놀로지,60.0,"개발, 서울"
3208,이노테크놀로지,40.0,"금융/재무, 서울"
3209,이노테크놀로지,60.0,"엔지니어링, 서울"
3210,이노텍,80.0,"생산/제조, 경기"
3211,이노텍,90.0,"생산/제조, 경북"
3212,이노텍,20.0,"생산/제조, 인천"
